dt,age_cd,sex_cd,home_sido_nm,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r,h1d1h1_dur_r
20181203,NULL,NULL,??뽳폒?諛명?癒?뒄??0.1803026709976921,0.811912431,0.470584364,0.521626008,0.196429646,0.801512984,0.394747299,0.603242627,
20181203,NULL,NULL,?겸뫗猿뚪겫怨룸즲,0.154754887,0.8430757,0.431436972,0.566391841,0.189922771,0.809403168,0.337153689,0.662191762
20181203,NULL,NULL,???袁㏉굝????0.168125578,0.82938469,0.454642025,0.542870281,0.210228932,0.788442668,0.362043036,0.636650976,
20181203,NULL,NULL,?袁⑥뵬?브낮猷?0.16142159,0.836554009,0.442208625,0.555770378,0.18662579,0.812885562,0.34515773,0.654362135,
20181203,NULL,NULL,?봔?怨뚰굝????0.164233257,0.83482931,0.447880394,0.55118002,0.189930614,0.809652868,0.343441961,0.65617381,
20181203,NULL,NULL,野껋럡由??0.16853425278787565,0.831459552,0.492479673,0.507514131,0.18178958,0.818206496,0.339076482,0.660919594,
20181203,NULL,1,NULL,0.192466021,0.806688016,0.523760196,0.47539331,0.204584522,0.795096665,0.365153702,0.634530665
20181203,70,NULL,NULL,0.102977258,0.890820992,0.297251066,0.696543958,0.106426116,0.893150255,0.241872154,0.757755827
20181203,NULL,NULL,???닌덊굝????0.150485304,0.848536464,0.456676162,0.542344508,0.164448833,0.835218129,0.331513886,0.668161869,
20181203,NULL,NULL,揶쏅벡???0.16255782350994094,0.835331507,0.426320507,0.571565137,0.195797932,0.803615873,0.347547874,0.651869618,
20181203,0,NULL,NULL,0.054572131,0.928489304,0.111025048,0.872044499,0.114466493,0.874306028,0.190983457,0.797881004
20181203,50,NULL,NULL,0.176230609,0.823650969,0.514715616,0.485165962,0.182198702,0.817767176,0.381550285,0.618415593
20181203,10,NULL,NULL,0.098846476,0.900238019,0.294413158,0.704669682,0.129169567,0.870642255,0.227979058,0.771838283
20181203,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.16068804382396693,0.837345331,0.473082321,0.52494935,0.176242741,0.823295425,0.344296312,0.655236743,
20181203,60,NULL,NULL,0.146074601,0.853358623,0.411805299,0.587626994,0.153569238,0.846327542,0.337657728,0.662243702
20181203,40,NULL,NULL,0.177937148,0.821977718,0.54172357,0.458191296,0.182813932,0.817160815,0.356572997,0.64340175
20181203,NULL,NULL,?紐꾩쪒?諛명?癒?뒄??0.1667460978279067,0.820151674,0.463523011,0.523335678,0.209352209,0.785234939,0.361508502,0.633039564,
20181203,NULL,NULL,?紐꾧텦?용쵐肉??0.17267790655546134,0.823695573,0.450565759,0.545799972,0.19249109,0.806584199,0.353453406,0.645614134,
20181203,NULL,NULL,?袁⑥뵬??ㅻ즲,0.16415466,0.834129852,0.433717161,0.564565787,0.192866331,0.806677039,0.355753358,0.64379314
20181210,NULL,NULL,野껋럩湲??ㅻ즲,0.175702412,0.824049551,0.453439242,0.54631272,0.21001849,0.78958871,0.364970081,0.634701556
20181210,NULL,NULL,?紐꾩쪒?諛명?癒?뒄??0.236820461626536,0.753882088,0.504940996,0.485742144,0.224708244,0.769691934,0.380801142,0.613618447,
20181210,NULL,NULL,?겸뫗猿??ㅻ즲,0.176093959,0.823056181,0.458094726,0.541061024,0.222355965,0.777048012,0.378264226,0.621143957
20181210,10,NULL,NULL,0.106923691,0.892654581,0.281789798,0.717786833,0.144235355,0.855576481,0.244797616,0.755020783
20181210,20,NULL,NULL,0.209384217,0.790343763,0.480750993,0.518976574,0.262748191,0.737170079,0.367926627,0.631986277
20181210,NULL,2,NULL,0.143439538,0.856163567,0.405756031,0.593848177,0.168218597,0.831457814,0.317526785,0.682163868
20181210,NULL,NULL,?용쵐竊쒏꽴臾믩열??0.18918992640462232,0.810176858,0.483214737,0.516152047,0.185455871,0.814078979,0.348619733,0.650921908,
20181210,NULL,NULL,?봔?怨뚰굝????0.180995925,0.81854628,0.452832016,0.546716622,0.19316973,0.806322085,0.340499208,0.659047285,
20181210,NULL,NULL,??뽳폒?諛명?癒?뒄??0.18722994675162366,0.80944878,0.479912691,0.516766036,0.21722413,0.780717152,0.401495438,0.596436422,
20181210,NULL,NULL,揶쏅벡???0.1631464946174264,0.836007724,0.421564434,0.577589785,0.199594672,0.799782409,0.351449967,0.647927114,
20181210,NULL,NULL,?紐꾧텦?용쵐肉??0.17357429658750168,0.824299388,0.449135913,0.548735203,0.196524366,0.802507493,0.351610122,0.647378081,
20181210,NULL,NULL,?겸뫗猿뚪겫怨룸즲,0.158737035,0.840349516,0.430603141,0.568486923,0.206661193,0.79265899,0.357369508,0.641947162
20181210,NULL,1,NULL,0.201994289,0.797599944,0.523583765,0.476010572,0.213517061,0.786140359,0.371843518,0.627821168
20181210,NULL,NULL,?袁⑥뵬??ㅻ즲,0.17774211,0.821740405,0.441065642,0.558415319,0.203972276,0.795595709,0.36659592,0.632979835
20181210,NULL,NULL,?袁⑥뵬?브낮猷?0.164021089,0.835216543,0.440695043,0.55854259,0.196108449,0.803394575,0.355965958,0.643537066,
20181210,70,NULL,NULL,0.108048597,0.890211761,0.297045227,0.701233186,0.112286605,0.887139887,0.25316805,0.74635084
20181210,40,NULL,NULL,0.188536142,0.811408136,0.542338255,0.457606024,0.190439816,0.80953038,0.361122785,0.638847929
20181210,60,NULL,NULL,0.153153412,0.846581165,0.413609221,0.586124894,0.159645308,0.840260063,0.345768606,0.654136303
20181210,NULL,NULL,野껋럡由??0.17902088802965832,0.820976652,0.489742853,0.510254688,0.189113637,0.810881239,0.347292018,0.652702858,
20181210,NULL,NULL,???袁㏉굝????0.172216436,0.82686003,0.44926399,0.549808399,0.194046391,0.804599908,0.345925239,0.652741447,
