,dt,h0d0h0_dur_r,h0d0h1_dur_r,h0d1h0_dur_r,h0d1h1_dur_r,h1d0h0_dur_r,h1d0h1_dur_r,h1d1h0_dur_r
621,20190401,0.199194846,0.800583467,0.482721491,0.517056822,0.257045218,0.742902225,0.379848811
622,20190401,0.110966042,0.886105712,0.327280053,0.6697917,0.115129896,0.88465374,0.288054163
623,20190401,0.185319834,0.81461946,0.544749623,0.455189671,0.190408715,0.809560133,0.423665963
624,20190401,0.114437172,0.885126283,0.322470696,0.677092758,0.140968945,0.858899559,0.260583541
625,20190401,0.200578621,0.798692151,0.543772291,0.455498482,0.212506212,0.787250943,0.400191716
626,20190401,0.055196431,0.918117141,0.107352209,0.865961363,0.115455992,0.874865429,0.215655423
627,20190401,0.841561821,0.488153364,0.511711893,0.169124097,0.830834937,0.341324745,0.658634289
628,20190401,0.828512264,0.495981421,0.503212125,0.178966748,0.820866856,0.355813004,0.6440206
629,20190401,0.195109213,0.804239347,0.490528881,0.508819679,0.209421246,0.790399726,0.392013591
630,20190401,0.833239976,0.488900346,0.509286433,0.189241463,0.810329531,0.374358442,0.625212552
631,20190401,0.139185856,0.860000349,0.425297716,0.573888489,0.165605875,0.834189818,0.343691852
632,20190401,0.832994516,0.438921965,0.559406809,0.202094218,0.797443788,0.384098317,0.61543969
633,20190401,0.839503285,0.480826871,0.51825613,0.175582357,0.82419931,0.372911291,0.626870376
634,20190401,0.823493392,0.472666592,0.517647931,0.221463892,0.774742061,0.412329226,0.583876726
635,20190401,0.796165002,0.481527421,0.517112228,0.201296282,0.798318146,0.394632811,0.604981617
636,20190401,0.831894773,0.503839142,0.496139027,0.184300533,0.815695497,0.371540403,0.628455628
637,20190401,0.785692074,0.517840749,0.476698402,0.22721141,0.771059708,0.424609819,0.573661299
638,20190401,0.811894126,0.483451567,0.514074229,0.203485304,0.795878033,0.38710092,0.612260222
639,20190401,0.183939207,0.814781798,0.465272426,0.53344858,0.210658242,0.789032324,0.392093867
640,20190401,0.157462866,0.842321424,0.450649273,0.549135017,0.167930997,0.832009415,0.392798372
641,20190401,0.170668856,0.828560716,0.486053002,0.51317657,0.189656971,0.810118959,0.372665709
642,20190401,0.838971656,0.461614683,0.53631791,0.195370668,0.803644759,0.381811112,0.617204315
643,20190401,0.165734703,0.832475539,0.457470112,0.54074013,0.208587408,0.790967625,0.39610606
644,20190408,0.197422836,0.80192006,0.537606715,0.461736181,0.211504452,0.788246557,0.390647191
645,20190408,0.816832411,0.474590357,0.523401143,0.202844133,0.796555275,0.385150494,0.614248914
646,20190408,0.177552722,0.821177794,0.456815554,0.541914962,0.210554357,0.789124274,0.391062868
647,20190408,0.831517042,0.501643978,0.498340709,0.184323294,0.815672387,0.361583734,0.638411947
648,20190408,0.805159461,0.493386622,0.500922276,0.203578719,0.794594621,0.419992492,0.578180848
649,20190408,0.107563737,0.892015352,0.318040171,0.681538919,0.133395427,0.866446205,0.24701518
650,20190408,0.167794119,0.831538467,0.481481051,0.517851536,0.18853763,0.811233745,0.363738971
651,20190408,0.842430918,0.485954027,0.513949764,0.16796552,0.831995555,0.329803295,0.670157781
652,20190408,0.833066515,0.491053811,0.50832796,0.176011445,0.823823943,0.346037063,0.653798325
653,20190408,0.185456799,0.813963286,0.481765415,0.51765467,0.211196291,0.788636126,0.393240606
654,20190408,0.835867266,0.482334366,0.516275129,0.182668016,0.81689942,0.365656273,0.633911163
655,20190408,0.836374987,0.431720788,0.566783742,0.202895755,0.796633163,0.3745388,0.624990119
656,20190408,0.843096171,0.475250032,0.523995801,0.173220356,0.826576373,0.364377006,0.635419723
657,20190408,0.824924763,0.469011542,0.521880959,0.215327606,0.780324678,0.391217206,0.604435078
658,20190408,0.189510322,0.810413033,0.54375507,0.456168285,0.219068302,0.780894233,0.380264783
659,20190408,0.180374338,0.819580866,0.553240017,0.446715186,0.185291557,0.814684943,0.373800868
660,20190408,0.136521879,0.862799826,0.422242061,0.577079644,0.164296825,0.835496047,0.335338136
661,20190408,0.833129965,0.4625827,0.53589867,0.199825953,0.799782036,0.382173639,0.61743435
662,20190408,0.184601717,0.814605661,0.460432634,0.538774744,0.218467341,0.78132705,0.395885197
663,20190408,0.176785499,0.822189344,0.47347433,0.525500513,0.222117475,0.77749092,0.401556461
664,20190408,0.183820989,0.816121873,0.54080536,0.459137501,0.192104055,0.80786473,0.417984119
665,20190408,0.82764074,0.472803315,0.526602269,0.187247422,0.812526252,0.360287792,0.639485882
666,20190408,0.155591377,0.844232866,0.446175269,0.553648974,0.170092612,0.829835041,0.3879168
667,20190408,0.195368184,0.804344499,0.478064188,0.521648495,0.248228283,0.751718136,0.366248283
668,20190408,0.108522119,0.889956087,0.32363484,0.674843367,0.117780669,0.881982739,0.284334576
669,20190408,0.840878928,0.459434162,0.539035269,0.189736718,0.809205304,0.364092046,0.634849975
670,20190408,0.162839551,0.835838501,0.452973377,0.545704675,0.205553551,0.794019909,0.379383493
671,20190408,0.051367706,0.92481803,0.107181205,0.86900453,0.120581305,0.870512898,0.212844919
672,20190415,0.182237914,0.817741542,0.556583055,0.443396401,0.186588408,0.81339007,0.386583668
673,20190415,0.159162151,0.840769114,0.452557095,0.54737417,0.172314352,0.827616913,0.401595204
674,20190415,0.827457156,0.474209777,0.52255842,0.210631101,0.78499843,0.390643146,0.604986386
675,20190415,0.194806302,0.805066348,0.474396028,0.525476622,0.240091855,0.75985047,0.360238861
676,20190415,0.178064084,0.821726884,0.461796538,0.537994431,0.210737186,0.788918783,0.402910872
677,20190415,0.177605701,0.822213878,0.476050167,0.523769412,0.218915707,0.780697321,0.40481562
678,20190415,0.054896877,0.941164314,0.117219711,0.87884148,0.124465243,0.865619916,0.225848557
679,20190415,0.186656811,0.813310945,0.54584277,0.454124986,0.194254721,0.805709071,0.431871619
680,20190415,0.11222457,0.887493702,0.329970121,0.669748152,0.119365199,0.880388501,0.294831666
681,20190415,0.106397781,0.893482281,0.316419524,0.683460539,0.124540339,0.875307635,0.237890602
682,20190415,0.831461024,0.503089245,0.496909775,0.183436712,0.816560346,0.368553236,0.631443822
683,20190415,0.832458976,0.494101675,0.505802162,0.174891856,0.824903681,0.35229947,0.647496068
684,20190415,0.840905937,0.487264953,0.512722077,0.167794834,0.832163075,0.338027953,0.661929957
685,20190415,0.83976644,0.462019537,0.537611384,0.186790145,0.812207514,0.368249573,0.630748086
686,20190415,0.815509345,0.480763546,0.518712465,0.205268059,0.793990529,0.395879503,0.603379085
687,20190415,0.831590321,0.48847649,0.511281827,0.182504684,0.817018571,0.378764618,0.620758636
688,20190415,0.831433077,0.439733078,0.559982514,0.202017308,0.797470077,0.385794857,0.613692528
689,20190415,0.819225744,0.473563179,0.526116158,0.213914957,0.785629538,0.408473232,0.591071263
690,20190415,0.169496124,0.830359914,0.4842413,0.515614738,0.188146257,0.81160484,0.372332614
691,20190415,0.188702471,0.811193295,0.48549121,0.514404556,0.209768589,0.790028388,0.399907517
692,20190415,0.824759593,0.475195104,0.524703024,0.192838433,0.806921379,0.376318486,0.623441326
693,20190415,0.807444113,0.502915871,0.495076383,0.206314829,0.79177827,0.42737734,0.570715759
694,20190415,0.137836884,0.862030655,0.424215834,0.575651705,0.162716248,0.837058588,0.341997183
695,20190415,0.177606467,0.822239618,0.459598698,0.540247388,0.206925533,0.792838464,0.39810885
